TAG,time_urban [mins],time_rural [mins],time_water [mins],time_unknown [mins]
226,0.0,57.19643333333311,0.7999499999999999,1.4665833333333333
310,0.0,59.19591666666649,0.0,0.13331666666666667
144,0.0,49.19673333333321,0.0,2.1332166666666668
25,10.266283333333334,40.93154999999993,0.0,8.132950000000003
363,59.46229999999976,0.0,0.0,0.0
161,0.0,5.5996,32.797633333333266,20.93188333333332
430,0.0,0.0,0.0,59.396450000001174
238,59.33004999999979,0.0,0.0,0.0
423,0.0,46.33126666666708,0.0,13.066049999999986
241,0.0,59.329516666666464,0.0,0.0
376,0.0,1.999816666666667,0.0,57.32964999999977
229,0.0,59.0629999999999,0.0,0.0
220,0.0,59.33036666666645,0.0,0.0
167,0.0,56.796283333333115,0.0,0.0
425,0.0,46.26360000000053,0.7333,12.399266666666643
201,45.59718333333329,3.066483333333333,0.6666166666666666,9.999400000000001
405,29.998116666666604,27.998199999999947,1.0665833333333332,0.26665
225,0.0,59.330016666666445,0.0,0.0
231,39.463883333333214,18.132066666666677,0.0,1.7332166666666668
232,0.0,59.06279999999979,0.0,0.26663333333333333
323,0.0,56.92936666666657,0.0,0.13333333333333333
325,0.0,52.79669999999988,0.3999666666666667,1.3332666666666666
19,0.0,59.19743333333315,0.0,0.13331666666666667
13,56.93139999999994,0.0,0.0,0.0
378,59.1957499999998,0.13331666666666667,0.0,0.0
228,0.0,55.19689999999979,0.0,4.133066666666666
406,31.06501666666667,26.931899999999995,0.9332833333333332,0.0
407,0.0,0.13333333333333333,26.13176666666663,33.06493333333326
145,0.0,26.265316666666635,3.1998333333333333,29.998549999999934
163,47.330766666666584,7.7329333333333325,0.39998333333333336,3.8664833333333326
424,0.0,46.130616666666654,0.6666333333333333,8.266133333333334
429,0.0,17.398999999999965,0.6666333333333333,38.331183333333506
239,0.0,0.0,2.266516666666667,57.063366666666454
428,48.59770000000067,10.732799999999985,0.0,0.06666666666666667
21,0.0,0.0,0.0,58.53044999999983
410,0.0,0.5333,1.4666,0.5333166666666667
409,0.0,31.731383333333284,11.332616666666667,15.599033333333335
195,0.0,26.931399999999986,2.7998,28.131299999999953
495,0.0,39.06413333333323,0.13331666666666667,17.865450000000003
492,0.0,42.6640833333332,5.066383333333333,10.799366666666666
164,26.798133333333286,7.732800000000002,0.0,0.9332833333333332
411,0.0,17.332233333333335,3.866449999999999,13.065883333333343
493,0.0,1.4665666666666666,5.46625,22.265066666666645
166,0.0,47.86393333333328,0.0,0.13333333333333333
243,0.3999666666666667,50.797683333333296,0.0,7.599700000000001
491,0.0,12.932450000000008,0.0,3.4664833333333327
156,46.13064999999994,0.0,0.0,4.399749999999999
365,0.0,17.5987,0.0,0.0
401,0.0,33.33109999999999,0.0,0.0
403,0.0,29.065366666666666,0.0,0.0
329,0.0,1.3332333333333333,0.0,0.0
494,0.0,24.131649999999997,0.0,0.0
426,0.0,0.5333166666666667,0.0,0.06665
408,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0
