"TAG","TIME","X","Y","n_X","n_Y","geometry","surface_type_combined"
163,"2021-04-28 02:00:25.706",240701.50995826744,713845.7452033721,35.43055307602671,32.51856242042546,"POINT (35.43055307602671 32.51856242042546)","urban"
430,"2021-04-28 02:00:25.495",243021.8687343653,714427.5208947596,35.455262976978005,32.523761626043346,"POINT (35.455262976978005 32.523761626043346)","unknown"
238,"2021-04-28 02:00:26.749",240684.08561153896,713743.6234479543,35.43036532617097,32.51764189267643,"POINT (35.43036532617097 32.51764189267643)","urban"
241,"2021-04-28 02:00:27.509",242620.5911579671,713101.727779086,35.450959336932584,32.51181503383306,"POINT (35.450959336932584 32.51181503383306)","rural"
376,"2021-04-28 02:00:27.575",237357.43647677705,719992.89117562,35.39507950254877,32.57405181201005,"POINT (35.39507950254877 32.57405181201005)","unknown"
220,"2021-04-28 02:00:27.756",242521.77917642737,718705.6111250398,35.450045286518474,32.56234868069234,"POINT (35.450045286518474 32.56234868069234)","rural"
167,"2021-04-28 02:00:27.071",243348.1855772747,713309.4728452833,35.45870773552738,32.51367291524575,"POINT (35.45870773552738 32.51367291524575)","rural"
167,"2021-04-28 02:00:27.071",243348.1855772747,713309.4728452833,35.45870773552738,32.51367291524575,"POINT (35.45870773552738 32.51367291524575)","rural"
425,"2021-04-28 02:00:27.712",238285.7674599268,715304.4679485697,35.4048717393615,32.531759739811676,"POINT (35.4048717393615 32.531759739811676)","rural"
201,"2021-04-28 02:00:28.665",245960.46365491592,711740.5206845859,35.486464183203346,32.499465993935445,"POINT (35.486464183203346 32.499465993935445)","rural"
405,"2021-04-28 02:00:28.492",242117.1308276921,720964.0727524618,35.4457911124864,32.58272202006929,"POINT (35.4457911124864 32.58272202006929)","urban"
405,"2021-04-28 02:00:28.492",242117.1308276921,720964.0727524618,35.4457911124864,32.58272202006929,"POINT (35.4457911124864 32.58272202006929)","urban"
225,"2021-04-28 02:00:29.514",239206.5970814855,717697.907153693,35.41472379211051,32.55332599712388,"POINT (35.41472379211051 32.55332599712388)","rural"
231,"2021-04-28 02:00:29.830",242326.29113325765,714030.3751086649,35.44784994009257,32.5201950028524,"POINT (35.44784994009257 32.5201950028524)","rural"
430,"2021-04-28 02:00:29.495",243022.7197371804,714428.8323806699,35.45527206748441,32.5237734339895,"POINT (35.45527206748441 32.5237734339895)","unknown"
232,"2021-04-28 02:00:30.339",244262.02733440296,718011.2542564059,35.46855718275664,32.556049950657204,"POINT (35.46855718275664 32.556049950657204)","rural"
323,"2021-04-28 02:00:30.135",238648.79364485617,714914.7407080502,35.40872800746355,32.5282392411678,"POINT (35.40872800746355 32.5282392411678)","rural"
325,"2021-04-28 02:00:30.414",238185.3516697766,715238.5910463338,35.40380155338908,32.53116740839436,"POINT (35.40380155338908 32.53116740839436)","rural"
423,"2021-04-28 02:00:30.744",240301.0493986568,717352.7247662388,35.426368776430834,32.55019337198072,"POINT (35.426368776430834 32.55019337198072)","unknown"
19,"2021-04-28 02:00:30.260",243375.45801806025,717647.428545589,35.45910834620442,32.55278873554973,"POINT (35.45910834620442 32.55278873554973)","rural"
13,"2021-04-28 02:00:30.240",240755.834909072,713750.6680980047,35.43112909870823,32.51770404236362,"POINT (35.43112909870823 32.51770404236362)","urban"
378,"2021-04-28 02:00:31.940",240828.5930428735,713446.2814043844,35.43189653495422,32.51495790226245,"POINT (35.43189653495422 32.51495790226245)","urban"
228,"2021-04-28 02:00:31.336",242518.63189945745,716721.7461711665,35.44996305865894,32.54445979586105,"POINT (35.44996305865894 32.54445979586105)","rural"
425,"2021-04-28 02:00:31.711",238279.2319126428,715317.648054631,35.4048024357588,32.53187869939083,"POINT (35.4048024357588 32.53187869939083)","unknown"
406,"2021-04-28 02:00:31.097",242060.15245704525,720995.5843982016,35.44518502580291,32.583007330526016,"POINT (35.44518502580291 32.583007330526016)","urban"
406,"2021-04-28 02:00:31.097",242060.15245704525,720995.5843982016,35.44518502580291,32.583007330526016,"POINT (35.44518502580291 32.583007330526016)","urban"
407,"2021-04-28 02:00:31.347",241204.2213050477,715038.5970836317,35.43593096521181,32.52930895967783,"POINT (35.43593096521181 32.52930895967783)","water"
226,"2021-04-28 02:00:32.508",243131.885141969,716044.7131945312,35.45647465855743,32.538341911728786,"POINT (35.45647465855743 32.538341911728786)","rural"
144,"2021-04-28 02:00:32.211",238175.8596387224,715273.8177895625,35.40370121772932,32.53148521800852,"POINT (35.40370121772932 32.53148521800852)","rural"
145,"2021-04-28 02:00:32.105",244285.01608999565,712959.8804537972,35.46866854383356,32.51049999854328,"POINT (35.46866854383356 32.51049999854328)","unknown"
363,"2021-04-28 02:00:33.088",240922.9439869809,714079.7795849595,35.43291511720193,32.52066851551113,"POINT (35.43291511720193 32.52066851551113)","urban"
161,"2021-04-28 02:00:33.106",240434.57931533892,718157.1985841397,35.427808390989014,32.55744498409704,"POINT (35.427808390989014 32.55744498409704)","unknown"
163,"2021-04-28 02:00:33.705",240717.57177610468,713895.9961026802,35.43072515606063,32.51901523962678,"POINT (35.43072515606063 32.51901523962678)","urban"
430,"2021-04-28 02:00:33.495",243023.816212834,714430.4418767096,35.45528377815058,32.523787923958984,"POINT (35.45528377815058 32.523787923958984)","unknown"
238,"2021-04-28 02:00:34.749",240655.9170282728,713757.5353121612,35.430065847180835,32.517767878069456,"POINT (35.430065847180835 32.517767878069456)","urban"
241,"2021-04-28 02:00:35.509",242617.0248190697,713096.6188443551,35.45092125789258,32.5117690395064,"POINT (35.45092125789258 32.5117690395064)","rural"
376,"2021-04-28 02:00:35.575",237310.722199118,719998.9260462297,35.39458213478993,32.57410698353752,"POINT (35.39458213478993 32.57410698353752)","unknown"
229,"2021-04-28 02:00:35.103",236219.62561640388,716205.6499482633,35.38289479329038,32.53991908793458,"POINT (35.38289479329038 32.53991908793458)","rural"
220,"2021-04-28 02:00:35.756",242528.9621455309,718710.7129892814,35.450121896559,32.56239453578883,"POINT (35.450121896559 32.56239453578883)","rural"
167,"2021-04-28 02:00:35.071",243355.2950438868,713288.4120941501,35.45878286177249,32.51348285174096,"POINT (35.45878286177249 32.51348285174096)","rural"
167,"2021-04-28 02:00:35.071",243355.2950438868,713288.4120941501,35.45878286177249,32.51348285174096,"POINT (35.45878286177249 32.51348285174096)","rural"
425,"2021-04-28 02:00:35.711",238284.7360448753,715304.4779644132,35.40486076068804,32.531759847626326,"POINT (35.40486076068804 32.531759847626326)","rural"
201,"2021-04-28 02:00:36.664",245960.4616203188,711662.847636513,35.4864619754963,32.49876559488339,"POINT (35.4864619754963 32.49876559488339)","rural"
405,"2021-04-28 02:00:36.492",242086.15797678955,720998.7955752492,35.44546207507446,32.58303575530403,"POINT (35.44546207507446 32.58303575530403)","urban"
405,"2021-04-28 02:00:36.492",242086.15797678955,720998.7955752492,35.44546207507446,32.58303575530403,"POINT (35.44546207507446 32.58303575530403)","urban"
225,"2021-04-28 02:00:37.513",239197.9733024891,717698.3226627135,35.41463198333614,32.55332989743197,"POINT (35.41463198333614 32.55332989743197)","rural"
231,"2021-04-28 02:00:37.829",242325.2671259464,714023.9809875858,35.447838886056786,32.520137366421466,"POINT (35.447838886056786 32.520137366421466)","rural"
430,"2021-04-28 02:00:37.495",243022.27127781857,714430.0532243064,35.455267324896404,32.52378445217445,"POINT (35.455267324896404 32.52378445217445)","unknown"
232,"2021-04-28 02:00:38.339",244261.9426786212,718011.6446987971,35.468556291715124,32.55605347325012,"POINT (35.468556291715124 32.55605347325012)","rural"
323,"2021-04-28 02:00:38.135",238667.67845900176,714862.2271203368,35.40892794567132,32.527765384548914,"POINT (35.40892794567132 32.527765384548914)","rural"
325,"2021-04-28 02:00:38.413",238178.71974703524,715255.4791890753,35.403731296803365,32.53131980543636,"POINT (35.403731296803365 32.53131980543636)","rural"
19,"2021-04-28 02:00:38.259",243374.7364208484,717650.2616601456,35.45910073556718,32.552814297920676,"POINT (35.45910073556718 32.552814297920676)","rural"
13,"2021-04-28 02:00:38.240",240755.7254738153,713751.7825013753,35.43112795923954,32.51771409335587,"POINT (35.43112795923954 32.51771409335587)","urban"
378,"2021-04-28 02:00:39.940",240834.0506972149,713439.0487749887,35.43195445359952,32.514892578509055,"POINT (35.43195445359952 32.514892578509055)","urban"
228,"2021-04-28 02:00:39.336",242668.7211708638,716834.9012477483,35.45156369587467,32.545477011044326,"POINT (35.45156369587467 32.545477011044326)","rural"
425,"2021-04-28 02:00:39.711",238275.51576835036,715321.6275239832,35.40476295895152,32.53191464640385,"POINT (35.40476295895152 32.53191464640385)","unknown"
406,"2021-04-28 02:00:39.096",242103.48386283507,720943.548630328,35.44564527032191,32.58253722941346,"POINT (35.44564527032191 32.58253722941346)","rural"
407,"2021-04-28 02:00:39.346",241101.9655645082,715157.483301266,35.43484527489696,32.53038298714366,"POINT (35.43484527489696 32.53038298714366)","unknown"
226,"2021-04-28 02:00:40.507",243132.3998135471,716034.8728027372,35.45647988946358,32.53825316758161,"POINT (35.45647988946358 32.53825316758161)","rural"
144,"2021-04-28 02:00:40.210",238186.24526208264,715247.7626636248,35.403811247864695,32.53125009637284,"POINT (35.403811247864695 32.53125009637284)","rural"
145,"2021-04-28 02:00:40.105",244296.78709601052,712999.393127665,35.46879485283458,32.51085603181122,"POINT (35.46879485283458 32.51085603181122)","rural"
363,"2021-04-28 02:00:41.088",240937.62335720143,714071.4695504052,35.43307116217503,32.52059329769458,"POINT (35.43307116217503 32.52059329769458)","urban"
161,"2021-04-28 02:00:41.106",240434.32524624377,718152.8528113273,35.42780558869984,32.5574058020698,"POINT (35.42780558869984 32.5574058020698)","unknown"
163,"2021-04-28 02:00:41.705",240708.8450427792,713873.8537698069,35.43063177760585,32.51881574299014,"POINT (35.43063177760585 32.51881574299014)","urban"
430,"2021-04-28 02:00:41.494",243024.1720028864,714432.8353584845,35.45528762497643,32.52380949905519,"POINT (35.45528762497643 32.52380949905519)","unknown"
238,"2021-04-28 02:00:42.749",240657.02835468,713757.6252965163,35.43007767684465,32.5177686682667,"POINT (35.43007767684465 32.5177686682667)","urban"
423,"2021-04-28 02:00:42.744",240314.61238122996,717352.9398710576,35.42651318136502,32.55019505663052,"POINT (35.42651318136502 32.55019505663052)","rural"
241,"2021-04-28 02:00:43.508",242622.1101289386,713091.7780794336,35.45097525704779,32.511725282915975,"POINT (35.45097525704779 32.511725282915975)","rural"
376,"2021-04-28 02:00:43.574",237340.9913066603,719989.3361475095,35.39490430232608,32.574020021090135,"POINT (35.39490430232608 32.574020021090135)","unknown"
229,"2021-04-28 02:00:43.103",236141.8922304176,716184.9193723224,35.38206691806641,32.539733326322185,"POINT (35.38206691806641 32.539733326322185)","rural"
220,"2021-04-28 02:00:43.756",242522.61487325767,718715.8155232565,35.45005443579639,32.56244067849358,"POINT (35.45005443579639 32.56244067849358)","rural"
167,"2021-04-28 02:00:43.070",243340.64579976496,713307.5877583759,35.45862744706675,32.513656079074785,"POINT (35.45862744706675 32.513656079074785)","rural"
167,"2021-04-28 02:00:43.070",243340.64579976496,713307.5877583759,35.45862744706675,32.513656079074785,"POINT (35.45862744706675 32.513656079074785)","rural"
425,"2021-04-28 02:00:43.711",238284.77594492075,715307.3610114602,35.404861243142136,32.5317858441934,"POINT (35.404861243142136 32.5317858441934)","rural"
201,"2021-04-28 02:00:44.664",245922.28306584124,711610.7925459581,35.48605427270525,32.498297109765,"POINT (35.48605427270525 32.498297109765)","rural"
