TAG,TX,TIME,X,Y,Z,FREQ,DIM,NBS,NCONSTRAINTS,PENALTY,GRADNRM,VARX,VARY,VARZ,COVXY,COVXZ,COVYZ
972006000161,972006000161,1619577904917,240400.79992503292,718203.8132137484,-67,432403931,2,5,5,1.8200881481170654,3.5403224796226596e-09,29.65757942199707,7.881392002105713,,-12.389726638793945,,
972006000021,972006000021,1619577904559,246135.7562893618,713400.270484477,-119,432403931,2,3,3,0.06172829121351242,1.927313642013928e-09,204.35655212402344,193.31011962890625,,152.88880920410156,,
972006000493,972006000493,1619577905467,239464.3430084308,719677.5621091494,13,432403931,2,4,4,6.247262477874756,1.4533435432895203e-07,16.42731285095215,18.056011199951172,,-14.999078750610352,,
972006000424,972006000424,1619577905478,243507.5198666695,713268.3951044488,-107,432403931,2,4,4,3.0913357734680176,2.845548796592823e-10,328.4441833496094,962.197265625,,533.1126098632812,,
972006000429,972006000429,1619577905558,241765.74981766002,714594.3717155727,-97,432403931,2,7,7,4.732595443725586,3.2468903121696258e-09,1.7581766843795776,1.6377590894699097,,-0.912544846534729,,
972006000430,972006000430,1619577905335,243013.283928797,714426.3159627918,-99,432403931,2,7,7,3.4067330360412598,4.1894751556803556e-10,2.4622642993927,9.701519012451172,,0.21886205673217773,,
972006000243,972006000243,1619577906258,242273.83530013543,709648.5072732525,-93,432403931,2,4,4,0.925466001033783,2.79136522923773e-12,25074.298828125,122648.453125,,55007.55078125,,
972006000243,972006000243,1619577898259,241700.54083741116,708578.8774439119,144,432403931,2,3,3,0.7461005449295044,1.1040109937354714e-09,302288.28125,1791748.5,,731725,,
972006000243,972006000243,1619577890259,242934.6230194526,711420.9925827245,-106,432403931,2,3,3,0.035300999879837036,6.89172885426359e-11,162447.875,978191.3125,,396693.21875,,
972006000243,972006000243,1619577882260,242903.82033823524,711087.3339401737,-98,432403931,2,3,3,0.013525454327464104,3.86787442352432e-11,341711.84375,2124437.25,,849517.6875,,
972006000243,972006000243,1619577874260,242139.36696372513,709584.1673183091,-81,432403931,2,3,3,0.008236169815063477,7.441828403509376e-12,132258.125,585834.4375,,275313.09375,,
972006000243,972006000243,1619577866260,242608.1577684476,710254.8916233437,-103,432403931,2,3,3,0.015228401869535446,2.0170776941080826e-12,102447.3828125,489301.53125,,220679.9375,,
972006000243,972006000243,1619577682269,242498.7147367249,710103.2449052077,-103,432403931,2,3,3,0.02310114912688732,4.776861892152873e-11,338931.6875,1345286.875,,673410.125,,
972006000243,972006000243,1619577674269,242724.73229913722,710500.0642599197,-100,432403931,2,3,3,0.020808475092053413,6.208424052633887e-11,290821.9375,1183487.75,,585232.875,,
972006000243,972006000243,1619577466278,242531.4297886417,710532.8970164324,-97,432403931,2,3,3,0.00842877198010683,6.349970462643517e-12,352801.1875,1178645,,641353.625,,
972006000243,972006000243,1619577458279,242476.17687789514,710115.0928324427,-100,432403931,2,3,3,0.0170600563287735,1.1681794420681513e-11,256514.984375,898060.25,,476515.65625,,
972006000243,972006000243,1619577442279,241772.11890320134,709013.1127343371,78,432403931,2,3,3,0.41905149817466736,1.8899461162735776e-10,746536.625,2569629.25,,1379734.375,,
972006000243,972006000243,1619577434280,241819.5810447811,709000.7598077069,67,432403931,2,3,3,0.5246047973632812,2.839839752244444e-10,396298.5,1315037.25,,717553.5625,,
972006000243,972006000243,1619577426280,241893.08632929975,709280.4036295107,53,432403931,2,3,3,0.41435831785202026,2.3298415974259967e-10,398872.125,1343384.125,,728612.5625,,
972006000243,972006000243,1619577410281,243270.42398265933,711577.0605069068,-112,432403931,2,3,3,0.027532456442713737,4.3423417639409934e-11,144224.65625,562132.5,,283121.4375,,
972006000243,972006000243,1619577394282,243033.79609443728,711353.5947649619,-108,432403931,2,3,3,0.023982398211956024,2.3473332652623746e-11,201885.8125,696021.3125,,372130.90625,,
972006000243,972006000243,1619577386282,242555.92113883086,710358.7074848221,-101,432403931,2,3,3,0.01661832444369793,1.3643122222239956e-11,282052.03125,1012439.625,,531567.625,,
972006000243,972006000243,1619577378282,242130.47040146386,709823.0357936188,-88,432403931,2,3,3,0.008257506415247917,5.260593610029174e-12,386751.53125,1250163.5,,691503.0625,,
972006000243,972006000243,1619577346284,242363.2532631637,710102.6687898914,-98,432403931,2,3,3,0.01150750182569027,7.951920372173404e-12,362525.21875,1238677.625,,666386.875,,
972006000243,972006000243,1619577322285,243080.34907826458,711269.65038288,-109,432403931,2,3,3,0.03373831510543823,4.13625869666312e-11,111763.71875,403004.53125,,210363,,
972006000243,972006000243,1619577314285,242201.98559006554,709845.0802296536,-92,432403931,2,3,3,1.198984682559967e-05,4.052574926029576e-15,342101.09375,1135800.25,,619652,,
972006000243,972006000243,1619577306286,242737.22779688245,710536.2665221429,-101,432403931,2,3,3,0.01761680655181408,1.558310251670303e-11,255119.015625,959695.875,,491813.375,,
972006000243,972006000243,1619577298286,241944.705352554,709043.7750560433,24,432403931,2,3,3,0.31119173765182495,2.0550024182330873e-10,440731.84375,1678447.75,,857385.5625,,
972006000243,972006000243,1619577290286,242776.47606584083,710647.1482268862,-103,432403931,2,3,3,0.017215169966220856,1.746271009739342e-11,288667.71875,1112008.5,,564278.875,,
972006000243,972006000243,1619577282287,242530.50064428465,710235.6468019653,-101,432403931,2,3,3,0.019862273707985878,1.7311596600677603e-11,186585.421875,674571.4375,,352587.4375,,
972006000243,972006000243,1619577274287,242530.49029501982,710266.6884629346,-100,432403931,2,3,3,0.0176310483366251,1.3386415240179694e-11,226923.734375,789039.8125,,420080.09375,,
972006000243,972006000243,1619577266287,242671.90998007805,710527.5574041359,-100,432403931,2,3,3,0.013971323147416115,1.3650656126296123e-11,224267.171875,836187.1875,,431144.28125,,
972006000243,972006000243,1619577258288,241880.01727844734,708907.4964141146,39,432403931,2,3,3,0.3287760019302368,1.8935317203094826e-10,781502.9375,2984656.25,,1522856.375,,
972006000243,972006000243,1619577250288,242161.606528543,709599.1905061291,-75,432403931,2,3,3,0.03238597512245178,1.940825278268221e-11,403908.3125,1458294.375,,764319.375,,
972006000243,972006000243,1619577242288,242105.68260058097,709405.4543318346,-66,432403931,2,3,3,0.051924899220466614,3.174050605680989e-11,515291.03125,1916458.625,,990063.6875,,
